userId,date,amount,description,category
user123,2024-11-01,45.50,Courses alimentaires,Alimentation
user123,2024-11-02,12.30,Transport bus,Transport
user123,2024-11-03,8.90,Café,Restauration
user123,2024-11-05,120.00,Électricité,Factures
user123,2024-11-10,25.40,Déjeuner restaurant,Restauration
user123,2024-11-15,67.80,Courses alimentaires,Alimentation
user123,2024-11-20,15.20,Médicaments,Santé
user123,2024-11-25,89.70,Essence,Transport
user123,2024-12-01,46.20,Courses alimentaires,Alimentation
user123,2024-12-02,12.30,Transport bus,Transport
user123,2024-12-05,118.50,Électricité,Factures
user123,2024-12-10,28.90,Déjeuner restaurant,Restauration
user123,2024-12-15,71.40,Courses alimentaires,Alimentation
user123,2024-12-20,16.80,Médicaments,Santé
user123,2024-12-25,92.30,Essence,Transport
user456,2024-11-01,55.20,Loyer,Logement
user456,2024-11-03,23.45,Restaurant,Restauration
user456,2024-11-05,78.90,Courses,Alimentation
user456,2024-11-10,34.60,Cinéma,Loisirs
user456,2024-11-15,89.20,Vêtements,Shopping
user456,2024-11-20,45.30,Pharmacie,Santé
user456,2024-11-25,67.80,Carburant,Transport
user456,2024-12-01,55.20,Loyer,Logement
user456,2024-12-03,28.70,Restaurant,Restauration
user456,2024-12-05,82.40,Courses,Alimentation
user456,2024-12-10,39.20,Cinéma,Loisirs
user456,2024-12-15,95.60,Vêtements,Shopping
user456,2024-12-20,48.90,Pharmacie,Santé
user456,2024-12-25,71.50,Carburant,Transport
user789,2024-11-02,150.00,Assurance auto,Assurance
user789,2024-11-05,89.40,Supermarché,Alimentation
user789,2024-11-08,45.20,Coiffeur,Services
user789,2024-11-12,123.60,Réparation voiture,Transport
user789,2024-11-18,67.30,Dîner,Restauration
user789,2024-11-22,78.90,Livres,Culture
user789,2024-11-28,234.50,Dentiste,Santé
user789,2024-12-02,150.00,Assurance auto,Assurance
user789,2024-12-05,94.80,Supermarché,Alimentation
user789,2024-12-08,48.60,Coiffeur,Services
user789,2024-12-12,135.20,Entretien voiture,Transport
user789,2024-12-18,72.40,Dîner,Restauration
user789,2024-12-22,83.70,Magazines,Culture
user789,2024-12-28,198.30,Médecin,Santé
